Tamanho,Iteracao,Tipo,Tempo_ms
150,7,estatico_rapido,0.020
150,7,estatico_lento,0.016
150,7,dinamico_rapido,0.015
150,7,dinamico_lento,0.016
150,8,estatico_rapido,0.015
150,8,estatico_lento,0.016
150,8,dinamico_rapido,0.015
150,8,dinamico_lento,0.016
150,9,estatico_rapido,0.015
150,9,estatico_lento,0.016
150,9,dinamico_rapido,0.013
150,9,dinamico_lento,0.015
150,10,estatico_rapido,0.014
150,10,estatico_lento,0.014
150,10,dinamico_rapido,0.015
150,10,dinamico_lento,0.016
200,1,estatico_rapido,0.017
200,1,estatico_lento,0.034
200,1,dinamico_rapido,0.018
200,1,dinamico_lento,0.033
200,2,estatico_rapido,0.023
200,2,estatico_lento,0.030
200,2,dinamico_rapido,0.018
200,2,dinamico_lento,0.033
200,3,estatico_rapido,0.016
200,3,estatico_lento,0.031
200,3,dinamico_rapido,0.019
200,3,dinamico_lento,0.032
200,4,estatico_rapido,0.017
200,4,estatico_lento,0.032
200,4,dinamico_rapido,0.017
200,4,dinamico_lento,0.032
200,5,estatico_rapido,0.017
200,5,estatico_lento,0.030
200,5,dinamico_rapido,0.017
200,5,dinamico_lento,0.032
200,6,estatico_rapido,0.016
200,6,estatico_lento,0.032
200,6,dinamico_rapido,0.017
200,6,dinamico_lento,0.035
200,7,estatico_rapido,0.016
200,7,estatico_lento,0.031
200,7,dinamico_rapido,0.017
200,7,dinamico_lento,0.032
200,8,estatico_rapido,0.016
200,8,estatico_lento,0.035
200,8,dinamico_rapido,0.018
200,8,dinamico_lento,0.031
200,9,estatico_rapido,0.017
200,9,estatico_lento,0.031
200,9,dinamico_rapido,0.017
200,9,dinamico_lento,0.032
200,10,estatico_rapido,0.017
200,10,estatico_lento,0.032
200,10,dinamico_rapido,0.017
200,10,dinamico_lento,0.033
250,1,estatico_rapido,0.047
250,1,estatico_lento,0.059
250,1,dinamico_rapido,0.045
250,1,dinamico_lento,0.055
250,2,estatico_rapido,0.045
250,2,estatico_lento,0.055
250,2,dinamico_rapido,0.046
250,2,dinamico_lento,0.055
250,3,estatico_rapido,0.044
250,3,estatico_lento,0.056
250,3,dinamico_rapido,0.044
250,3,dinamico_lento,0.050
250,4,estatico_rapido,0.044
250,4,estatico_lento,0.051
250,4,dinamico_rapido,0.043
250,4,dinamico_lento,0.058
250,5,estatico_rapido,0.044
250,5,estatico_lento,0.051
250,5,dinamico_rapido,0.043
250,5,dinamico_lento,0.054
250,6,estatico_rapido,0.043
250,6,estatico_lento,0.056
250,6,dinamico_rapido,0.046
250,6,dinamico_lento,0.051
250,7,estatico_rapido,0.044
250,7,estatico_lento,0.051
250,7,dinamico_rapido,0.045
250,7,dinamico_lento,0.051
250,8,estatico_rapido,0.043
250,8,estatico_lento,0.049
250,8,dinamico_rapido,0.044
250,8,dinamico_lento,0.051
250,9,estatico_rapido,0.043
250,9,estatico_lento,0.049
250,9,dinamico_rapido,0.043
250,9,dinamico_lento,0.050
250,10,estatico_rapido,0.045
250,10,estatico_lento,0.050
250,10,dinamico_rapido,0.041
250,10,dinamico_lento,0.049
300,1,estatico_rapido,0.053
300,1,estatico_lento,0.076
300,1,dinamico_rapido,0.056
300,1,dinamico_lento,0.080
300,2,estatico_rapido,0.054
300,2,estatico_lento,0.077
300,2,dinamico_rapido,0.052
300,2,dinamico_lento,0.076
300,3,estatico_rapido,0.057
300,3,estatico_lento,0.072
300,3,dinamico_rapido,0.051
300,3,dinamico_lento,0.075
300,4,estatico_rapido,0.048
300,4,estatico_lento,0.074
300,4,dinamico_rapido,0.049
300,4,dinamico_lento,0.079
300,5,estatico_rapido,0.054
300,5,estatico_lento,0.078
300,5,dinamico_rapido,0.050
300,5,dinamico_lento,0.126
300,6,estatico_rapido,0.048
300,6,estatico_lento,0.073
300,6,dinamico_rapido,0.052
300,6,dinamico_lento,0.191
