Tamanho,Tipo,mean,std
50,dinamico_lento,0.002,0.0
50,dinamico_rapido,0.0018000000000000002,0.0004216370213557839
50,estatico_lento,0.0019,0.00031622776601683794
50,estatico_rapido,0.0019,0.00031622776601683794
100,dinamico_lento,0.007400000000000001,0.0009660917830792958
100,dinamico_rapido,0.005,0.0
100,estatico_lento,0.007000000000000001,0.0
100,estatico_rapido,0.005,0.0
150,dinamico_lento,0.0157,0.0006749485577105533
150,dinamico_rapido,0.014499999999999999,0.0009718253158075502
150,estatico_lento,0.0158,0.0007888106377466157
150,estatico_rapido,0.0152,0.0017511900715418264
200,dinamico_lento,0.0325,0.001080123449734645
200,dinamico_rapido,0.017499999999999998,0.0007071067811865481
200,estatico_lento,0.0318,0.0016193277068654837
200,estatico_rapido,0.0172,0.0020976176963403035
250,dinamico_lento,0.0524,0.002913569784454955
250,dinamico_rapido,0.044,0.0015634719199411427
250,estatico_lento,0.052700000000000004,0.003497618237219911
250,estatico_rapido,0.044199999999999996,0.0012292725943057194
300,dinamico_lento,0.0978,0.036328134184586656
300,dinamico_rapido,0.0558,0.007480344614759105
300,estatico_lento,0.097,0.048080950258681227
300,estatico_rapido,0.056400000000000006,0.006785605679999718
350,dinamico_lento,0.1101,0.012827487846201392
350,dinamico_rapido,0.0892,0.004366539438350077
350,estatico_lento,0.1069,0.008359292899389144
350,estatico_rapido,0.08990000000000001,0.006208417225383976
400,dinamico_lento,0.20049999999999998,0.02985985785483767
400,dinamico_rapido,0.101,0.010883218478209673
400,estatico_lento,0.19790000000000002,0.04508867805656859
400,estatico_rapido,0.1015,0.028344115595461586
450,dinamico_lento,0.2825,0.12391506948085226
450,dinamico_rapido,0.1683,0.00928619046398108
450,estatico_lento,0.2884,0.09149401923380322
450,estatico_rapido,0.1893,0.0300704727820055
500,dinamico_lento,0.29500000000000004,0.01811077027627483
500,dinamico_rapido,0.2084,0.01148138590163323
500,estatico_lento,0.277,0.04667380897724595
500,estatico_rapido,0.20579999999999998,0.012839176159101658
550,dinamico_lento,0.3774,0.023936025846688365
550,dinamico_rapido,0.3025,0.021193552478682456
550,estatico_lento,0.3623,0.029480878925537843
550,estatico_rapido,0.2987,0.018135600348485843
600,dinamico_lento,0.469,0.01800617178142601
600,dinamico_rapido,0.31579999999999997,0.02104914883473121
600,estatico_lento,0.4628,0.03825005446619216
600,estatico_rapido,0.2995,0.022287265920749935
650,dinamico_lento,0.6052,0.036039484519682655
650,dinamico_rapido,0.4021,0.013987693003335305
650,estatico_lento,0.588,0.060302938937040564
650,estatico_rapido,0.41790000000000005,0.03431051021350617
700,dinamico_lento,0.7256,0.054477722256186745
700,dinamico_rapido,0.4447,0.019212553766280616
700,estatico_lento,0.7819,0.08579750061109645
700,estatico_rapido,0.4509,0.03323803042700736
750,dinamico_lento,0.8731,0.06611009336284777
750,dinamico_rapido,0.5784,0.03629876030941001
750,estatico_lento,0.9002000000000001,0.12125162083681836
750,estatico_rapido,0.5609,0.029376672529217586
800,dinamico_lento,1.284,0.12427031468179006
800,dinamico_rapido,0.5831,0.0243056920631087
800,estatico_lento,1.2368000000000001,0.03634648080167689
800,estatico_rapido,0.5730999999999999,0.0321643349759395
850,dinamico_lento,1.4249,0.29245377602470984
850,dinamico_rapido,0.7464,0.032249720067691175
850,estatico_lento,1.3265,0.2689114889492245
850,estatico_rapido,0.7838999999999999,0.09168236229262175
900,dinamico_lento,1.6184,0.3214433421650264
900,dinamico_rapido,0.8209,0.08015186973628387
900,estatico_lento,1.424,0.09624852091215626
900,estatico_rapido,0.8431000000000001,0.05745229905466506
950,dinamico_lento,1.6529,0.03262735730095899
950,dinamico_rapido,0.9645999999999999,0.043825918257477614
950,estatico_lento,1.6896,0.06545261220489565
950,estatico_rapido,0.9343999999999999,0.029485212866414506
